City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,buala,-8.145,159.5921,29.56,70,89,4.52,SB,1738539570
1,choibalsan,48.0667,114.5,-21.69,83,53,3.4,MN,1738539571
2,blackmans bay,-43.0167,147.3167,24.85,66,12,3.41,AU,1738539572
3,ribeira grande,38.5167,-28.7,18.21,95,100,9.39,PT,1738539573
4,kimbe,-5.5502,150.1429,31.28,63,100,1.81,PG,1738539574
5,adamstown,-25.066,-130.1015,25.34,71,64,8.01,PN,1738539575
6,carnarvon,-24.8667,113.6333,29.72,44,12,11.52,AU,1738539576
7,qaqortoq,60.7167,-46.0333,-20.51,92,10,2.07,GL,1738539577
8,jianshui,23.6363,102.8264,8.73,93,69,3.12,CN,1738539578
9,isafjordur,66.0755,-23.124,-3.23,79,84,2.78,IS,1738539580
10,utrik,11.2278,169.8474,26.56,72,29,10.11,MH,1738539581
11,hawera,-39.5917,174.2833,22.28,56,90,3.82,NZ,1738539582
12,howrah,22.5892,88.3103,21.0,100,100,2.57,IN,1738539583
13,waitangi,-43.9535,-176.5597,13.4,61,100,3.68,NZ,1738539584
14,tiksi,71.6872,128.8694,-25.17,94,100,9.85,RU,1738539585
15,ushuaia,-54.8,-68.3,8.81,76,75,9.26,AR,1738539587
16,stanley,54.868,-1.6985,5.01,90,75,3.09,GB,1738539588
17,invercargill,-46.4,168.35,19.45,62,19,4.02,NZ,1738539589
18,grytviken,-54.2811,-36.5092,7.38,71,86,4.46,GS,1738539590
19,la mira,18.035,-102.3266,27.88,55,0,3.18,MX,1738539591
20,port-aux-francais,-49.35,70.2167,3.4,91,100,19.69,TF,1738539592
21,taoudenni,22.6783,-3.9836,14.97,26,0,3.86,ML,1738539593
22,enewetak,11.3474,162.3373,26.96,77,66,9.46,MH,1738539594
23,klyuchi,52.2667,79.1667,-15.83,98,92,2.07,RU,1738539596
24,port mathurin,-19.6833,63.4167,26.78,85,96,5.57,MU,1738539597
25,minas de marcona,-15.2119,-75.1103,18.63,75,20,5.78,PE,1738539599
26,mount pearl,47.5166,-52.7813,-8.81,73,93,4.02,CA,1738539600
27,kodiak,57.79,-152.4072,2.73,75,40,4.63,US,1738539601
28,bredasdorp,-34.5322,20.0403,18.87,73,48,2.12,ZA,1738539603
29,aksu,41.1231,80.2644,-8.42,73,1,0.96,CN,1738539347
30,camana,-16.6228,-72.7111,22.53,82,2,2.11,PE,1738539605
31,albany,42.6001,-73.9662,-5.2,76,100,1.34,US,1738539606
32,ilulissat,69.2167,-51.1,-17.99,71,93,3.09,GL,1738539607
33,iqaluit,63.7506,-68.5145,-24.06,63,75,4.12,CA,1738539609
34,puerto natales,-51.7236,-72.4875,8.74,71,61,4.68,CL,1738539610
35,constantia,44.1833,28.65,7.61,87,78,4.25,RO,1738539611
36,tanjung pandan,-2.75,107.65,26.82,81,100,4.08,ID,1738539612
37,nemuro,43.3236,145.575,-1.28,66,53,4.46,JP,1738539613
38,longyearbyen,78.2186,15.6401,2.91,70,75,6.17,SJ,1738539614
39,puerto ayora,-0.7393,-90.3518,24.75,97,88,0.89,EC,1738539615
40,bartica,6.4,-58.6167,23.01,92,46,2.09,GY,1738539616
41,alice springs,-23.7,133.8833,32.75,33,2,5.66,AU,1738539618
42,waycross,31.2136,-82.354,19.03,63,0,2.57,US,1738539619
43,maun,-19.9833,23.4167,22.92,67,44,2.51,BW,1738539620
44,walvis bay,-22.9575,14.5053,17.56,84,6,4.47,NA,1738539621
45,peace river,56.2501,-117.286,-23.83,64,0,0.0,CA,1738539622
46,angra do heroismo,38.65,-27.2167,17.34,88,75,6.71,PT,1738539623
47,thompson,55.7435,-97.8558,-17.91,78,100,4.63,CA,1738539624
48,yellowknife,62.456,-114.3525,-25.71,76,0,3.6,CA,1738539625
49,mana,5.6592,-53.7767,24.67,89,84,4.24,GF,1738539627
50,fortuna,40.5982,-124.1573,7.74,96,20,2.06,US,1738539628
51,funafuti,-8.5243,179.1942,31.0,66,20,6.69,TV,1738539629
52,west island,-12.1568,96.8225,27.99,89,20,7.2,CC,1738539630
53,inhambane,-23.865,35.3833,25.21,80,76,4.1,MZ,1738539631
54,punta arenas,-53.15,-70.9167,11.06,58,40,11.32,CL,1738539632
55,ubud,-8.5098,115.2654,26.62,78,100,0.24,ID,1738539633
56,porto velho,-8.7619,-63.9039,26.03,78,75,2.06,BR,1738539636
57,usogorsk,63.4106,48.6872,-19.5,88,67,5.08,RU,1738539637
58,trindade,-16.6494,-49.4889,23.86,98,100,2.4,BR,1738539639
59,queenstown,-31.8976,26.8753,17.38,84,98,2.34,ZA,1738539640
60,sinabang,2.4803,96.3801,26.38,81,96,1.23,ID,1738539643
61,port hedland,-20.3167,118.5667,31.03,79,100,2.57,AU,1738539644
62,rukungiri,-0.8411,29.9419,17.84,72,99,0.76,UG,1738539645
63,anadyr,64.75,177.4833,1.28,93,100,17.0,RU,1738539646
64,nagqu,31.5,92.0,-11.18,14,0,0.73,CN,1738539647
65,rabo de peixe,37.8,-25.5833,17.77,99,75,4.12,PT,1738539648
66,nova vicosa,-17.8919,-39.3719,26.11,81,3,4.4,BR,1738539649
67,kununurra,-15.7667,128.7333,27.99,74,100,2.06,AU,1738539651
68,san antonio de pale,-1.4014,5.6325,27.31,74,43,0.63,GQ,1738539652
69,arno,60.1167,18.6333,-1.74,90,100,3.84,SE,1738539653
70,papatowai,-46.5619,169.4708,20.32,51,32,7.38,NZ,1738539655
71,wailua homesteads,22.0669,-159.378,25.07,61,0,7.72,US,1738539656
72,la palma,33.8464,-118.0467,24.26,61,75,3.6,US,1738539657
73,darwin,-12.4611,130.8418,29.99,84,100,4.12,AU,1738539659
74,bilibino,68.0546,166.4372,-30.29,99,100,3.33,RU,1738539660
75,tamiahua,21.2667,-97.45,20.82,79,92,1.77,MX,1738539661
76,bumba,2.1833,22.4667,24.15,42,100,0.22,CD,1738539662
77,hermanus,-34.4187,19.2345,16.56,75,36,1.0,ZA,1738539663
78,port elizabeth,-33.918,25.5701,17.4,95,20,0.45,ZA,1738539664
79,bethel,41.3712,-73.414,-1.7,82,100,1.54,US,1738539665
80,atafu village,-8.5421,-172.5159,27.89,75,36,6.32,TK,1738539666
81,fale old settlement,-9.3852,-171.2468,28.57,69,50,7.33,TK,1738539668
82,lorengau,-2.0226,147.2712,30.06,64,98,4.99,PG,1738539669
83,mejit,10.2753,170.8646,26.48,74,22,10.68,MH,1738539670
84,el haouaria,37.05,11.0144,11.01,74,17,6.48,TN,1738539671
85,margaret river,-33.95,115.0667,18.75,60,37,5.66,AU,1738539672
86,avarua,-21.2078,-159.775,30.03,74,40,5.14,CK,1738539673
87,jamestown,42.097,-79.2353,-1.66,96,100,4.63,US,1738539674
88,vila velha,-20.3297,-40.2925,26.97,78,20,6.69,BR,1738539676
89,arraial do cabo,-22.9661,-42.0278,23.92,83,0,5.14,BR,1738539677
90,axim,4.8699,-2.2405,26.03,87,5,2.46,GH,1738539678
91,bebedja,8.6761,16.566,26.06,20,61,3.16,TD,1738539679
92,port lincoln,-34.7333,135.8667,26.75,50,0,3.0,AU,1738539680
93,capitan bado,-23.2667,-55.5333,26.48,48,33,3.66,PY,1738539681
94,lazaro cardenas,17.9583,-102.2,27.76,61,4,3.28,MX,1738539683
95,sirte,31.2089,16.5887,16.72,38,100,1.44,LY,1738539684
96,howard springs,-12.497,131.047,29.95,93,100,5.11,AU,1738539685
97,makurazaki,31.2667,130.3167,10.75,66,45,11.34,JP,1738539686
98,lebu,-37.6167,-73.65,15.95,86,8,2.77,CL,1738539688
99,olonkinbyen,70.9221,-8.7187,-0.72,92,87,5.18,SJ,1738539689
100,buckhannon,38.994,-80.232,9.82,73,100,3.73,US,1738539691
101,rzepin,52.3464,14.8323,1.21,92,100,1.53,PL,1738539692
102,tari,-11.1105,14.3559,18.33,96,89,0.58,AO,1738539693
103,ouani,-12.1322,44.4258,26.87,83,99,7.13,KM,1738539694
104,bandar lampung,-5.4254,105.258,23.92,91,100,1.74,ID,1738539696
105,revda,56.801,59.9303,-0.6,90,100,4.0,RU,1738539697
106,malpica,43.3228,-8.8105,10.13,100,19,2.95,ES,1738539698
